language,term,stemmed.term,
15,siapapun,siapapun,
15,siapapun..,siapapun..,
15,tak,tak,
15,tak ada,tak ada,
15,tak ada apapun,tak ada apapun,
15,tak seorangpun,tak seorangpun,
15,tiada,tiada,
15,tidak,tidak,
15,tidak ada,tidak ada,
15,usah,usah,
15,warga,warga,
15,yang,yang,
15,,,
16,-niente,niente,
16,abbiate,abbiate,
16,abitanti,abitanti,
16,altra,altro,
16,altro,altro,
16,avete,avete,
16,ben,ben,
16,c'è,c'è,
16,calarsi,calarsi,
16,caldo,caldo,
16,cederò,cederò,
16,chiamare,chiamare,
16,chiamate,chiamare,
16,chiunque,chiunque,
16,cosa,cosa,
16,credo,credo,
16,darmi una cosa,darmi una cosa,
16,dell'altro,dell'altro,
16,dirti tutto,dirti tutto,
16,fossero,fossero,
16,genere,genere,
16,incredibile,incredibile,
16,mosca,mosca,
16,motivo,motivo,
16,nessun,nessuno,
16,nessuno,nessuno,
16,nient'altro,nient'altro,
16,niente,niente,
16,non,non,
16,notevole,notevole,
16,nulla,nulla,
16,perso,perso,
16,persona,persona,
16,qualche,qualche,
16,qualcos'altro,qualcosa altro,
16,qualcosa,qualcosa,
16,qualcun,qualcun,
16,qualcuno,qualcun,
16,qualsiasi,qualsiasi,
16,qualunque,qualunque,
16,ricordare,ricordare,
16,ricorderà,ricorderà,
16,sanno,sanno,
16,serva,serva,
16,simile,simile,
16,successo,successo,
16,tracce,tracce,
16,tutti,tutti,
16,tutto,tutto,
16,tutto quello,tutto quello,
16,una,una,
16,una cosa,una cosa,
16,vedete qualcosa,vedete qualcosa,
16,vedranno,vedranno,
16,volete,volete,
16,,,
17,ＴＶ,ＴＶ,
17,あ,あ,
17,あの,あの,
17,ある,ある,
17,いただ,いただ,
17,か,か,
17,か あ,か あ,
17,か 何 か,か 何 か,
17,か 変,か 変,
17,こう,こう,
17,こと,こと,
17,こと な,こと な,
17,じ,じ,
17,しか,しか,
17,ず,ず,
17,だい,だい,
17,だけ,だけ,
17,ただ,ただ,
17,タフ,タフ,
17,たり,たり,
17,って,って,
17,でき,でき,
17,と―,と―,
17,な,な,
17,など,など,
17,なに,なに,
17,はず,はず,
17,ひとり,ひとり,
17,も,も,
17,も 何,も 何,
17,も 何 も,も 何 も,
17,も 何 も な,も 何 も な,
17,もっと,もっと,
17,もの,もの,
17,わけ,わけ,
17,下船,下船,
17,事,事,
17,事 でき,事 でき,
17,人,人,
17,人間,人間,
17,以外,以外,
17,何,何,
17,何 か,何 か,
17,何 か あ,何 か あ,
17,何 も,何 も,
17,何 も な,何 も な,
17,何 も 残,何 も 残,
17,何 も 無,何 も 無,
17,何物 も,何物 も,
17,信じ,信じ,
17,別,別,
17,動,動,
17,勝ち取れ,勝ち取れ,
17,同じ,同じ,
17,呆れ,呆れ,
17,味方,味方,
17,変わ,変わ,
17,大変,大変,
17,奴,奴,
17,居,居,
17,怪我,怪我,
17,意見,意見,
17,手当て,手当て,
17,教え,教え,
17,書類,書類,
17,有,有,
17,残,残,
17,殺し,殺し,
17,無,無,
17,無用,無用,
17,熟知,熟知,
17,物,物,
17,現れ,現れ,
17,相手,相手,
17,空っぽ,空っぽ,
17,緊張,緊張,
17,者,者,
17,耐え,耐え,
17,臆病,臆病,
17,見覚え,見覚え,
17,言え,言え,
17,証拠,証拠,
17,話,話,
17,誰,誰,
17,誰 か,誰 か,
17,誰 も,誰 も,
17,身動き,身動き,
17,近付け,近付け,
17,迫,迫,
17,送りつけ,送りつけ,
17,連中,連中,
17,遭わ,遭わ,
17,飲み物,飲み物,
17,驚,驚,
17,,,
18,-bel,bel,
18,-niets,niets,
18,-niks,niks,
18,-wie,wie,
18,met,met,
18,aanstaat,aanstaat,
18,alles,alles,
18,ander,ander,
18,beweeg,beweeg,
18,beweging,beweging,
18,ergens,ergens,
18,fris,fris,
18,gedragen,gedragen,
18,gratis,gratis,
18,hebt,hebt,
18,helemaal,helemaal,
18,helemaal niets,helemaal niets,
18,hoeft,hoeft,
18,hoeven,hoeven,
18,ieder,ieder,
18,iedereen,iedereen,
18,iemand,iemand,
18,iets,iets,
18,iets bruikbaars,iets bruikbaars,
18,iets wat,iets wat,
18,kon,kon,
18,nee,nee,
18,nergens,nergens,
18,nergens iets,nergens iets,
18,niemand,niemand,
18,niemand kon,niemand kon,
18,niets,niets,
18,niks,niks,
18,ook,ook,
18,oplevert,oplevert,
18,overal,overal,
18,schieten,schieten,
18,slachtoffers,slachtoffers,
18,uitgepraat,uitgepraat,
18,verrast,verrast,
18,vrijlaat,vrijlaat,
18,wat,wat,
18,wie,wie,
18,wisten,wisten,
18,zenuwachtig,zenuwachtig,
18,zoiets,zoiets,
18,,,
19,-er noen,er noen,
19,-ingenting,ingenting,
19,-noen,noen,
19,absolutt alt,absolutt alt,
19,akkurat,akkurat,
19,alle,alle,
19,alt,alt,
19,andre,andre,
19,annen,annen,
19,eksisterte,eksisterte,
19,en,en,
19,en som,en som,
19,etterlatt,etterlatt,
19,fantastisk,fantastisk,
19,flere,flere,
19,gratis,gratis,
19,helst,helst,
19,ikke,ikke,
19,ikke noe,ikke noe,
19,ingen,ingen,
19,ingen ting,ingen ting,
19,ingenting,ingenting,
19,lengst,lengst,
19,lett,lett,
19,lngen,ingen,
19,lngenting,ingenting,
19,målløs,målløs,
19,nevnt,nevnt,
19,noe,noe,
19,noen,noen,
19,noen ting,noen ting,
19,noenting,noenting,
19,person,person,
19,planer,planer,
19,radiusen,radiusen,
19,siå,siå,
19,som,som,
19,spenne,spenne,
19,ting,ting,
19,tjeneste,tjeneste,
19,,,
20,ani,ani,
20,chcesz,chcesz,
20,chwilę,chwilę,
20,cokolwiek,cokolwiek,
20,coś,coś,
20,czego,co,
20,czegoś,coś,
20,czymś,coś,
20,denerwować,denerwować,
20,gadaj,gadaj,
20,jakie,jakie,
20,jakoś,jakoś,
20,każdego,każdy,
20,każdemu,każdy,
20,każdy,każdy,
20,każdy kto,każdy kto,
20,każdym,każdy,
20,kim,kto,
20,kimś,ktoś,
20,kogokolwiek,ktokolwiek,
20,kogoś,ktoś,
20,komuś,ktoś,
20,kto,kto,
20,ktokolwiek,ktokolwiek,
20,ktoś,ktoś,
20,ktoś może,ktoś może,
20,ktoś ucierpiał,ktoś ucierpiał,
20,ma,ma,
20,może,może,
20,następnego,następnego,
20,nic,nic,
20,niczego,nic,
20,niczym,nic,
20,nie,nie,
20,nieźle,nieźle,
20,nikim,nikt,
20,nikogo,nikt,
20,nikomu,nikt,
20,nikt,nikt,
20,oglądaliśmy,oglądaliśmy,
20,ogóle,ogóle,
20,osobie,osobie,
20,osoby,osoby,
20,pomysł,pomysł,
20,postępy,postępy,
20,powtarzam,powtarzam,
20,pozostawić nikogo,pozostawić nikt,
20,pytań,pytań,
20,rozmawiaj,rozmawiaj,
20,rozwalą,rozwalą,
20,ruszać,ruszać,
20,rzekł,rzekł,
20,sojuszników,sojuszników,
20,spadła,spadła,
20,sprawą,sprawą,
20,umówiona,umówiona,
20,ważny,ważny,
20,wezwijcie,wezwijcie,
20,wspominać,wspominać,
20,wszystkiego,wszystko,
20,wszystko,wszystko,
20,zajęty,zajęty,
20,zdałem,zdałem,
20,zechcesz,zechcesz,
20,zna,zna,
20,,,
21,-alguém,alguém,
21,-alguma coisa,algum coisa,
21,-há alguém,há alguém,
21,-nada,nada,
21,alcance,alcance,
21,algo,algo,
21,alguem,alguém,
21,alguém,alguém,
21,alguém safar-se,alguém safar-se,
21,algum,algum,
21,alguma,algum,
21,alguma coisa,algum coisa,
21,apenas,apenas,
21,borla,borla,
21,coisa,coisa,
21,demais,demais,
21,dor,dor,
21,especial,especial,
21,estarmos,estarmos,
21,estiverem,estiverem,
21,faço,faço,
21,farás tudo,farás tudo,
21,nada,nada,
21,não,não,
21,nenhuma,nenhuma,
21,ninguém,ninguém,
21,none,none,
21,palavras,palavras,
21,pessoa,pessoa,
21,qualquer,qualquer,
21,qualquer coisa,qualquer coisa,
21,quem,quem,
21,quem quer,quem quer,
21,quiseres,quiseres,
21,sozinhos,sozinhos,
21,tudo,tudo,
21,uma,uma,
21,uma coisa,uma coisa,
21,viu,viu,
21,,,
22,acestea,acestea,
22,ajute cineva,ajute cineva,
22,altceva,altceva,
22,altcineva,altcineva,
22,altul,altul,
22,aude cineva,aude cineva,
22,aveţi,aveţi,
22,careva,careva,
22,ce,ce,
22,ceva,ceva,
22,ceva|ce,ceva ce,
22,cineva,cineva,
22,cineva|în,cineva în,
22,coboare,coboare,
22,comiţi,comiţi,
22,cuiva,cuiva,
22,dator,dator,
22,făci,făci,
22,fiecare,fiecare,
22,gratis,gratis,
22,impresionant,impresionant,
22,mi-ar,mi-ar,
22,mut,mut,
22,n-ai,n-ai,
22,nervos,nervos,
22,niciun,niciun,
22,niciuna,niciun,
22,niciunul,niciun,
22,nimănui,nimeni,
22,nimeni,nimeni,
22,nimeni nu,nimeni nu,
22,nimic,nimic,
22,nimic nu,nimic nu,
22,nimica,nimic,
22,nu,nu,
22,nu-i,nu-i,
22,om,om,
22,orice,orice,
22,oricine,oricine,
22,oricine altcineva,oricine altcineva,
22,oricui,oricine,
22,recepţionează cineva,recepţionează cineva,
22,serveşte ceva,serveşte ceva,
22,totul,totul,
22,van,van,
22,,,
23,без,без,
23,беспокойтесь,беспокойтесь,
23,больше,больше,
23,будут,будут,
23,велели никого,велели никто,
23,виновата,виновата,
23,возомнил,возомнил,
23,возражения,возражения,
23,вообще кто-нибудь,вообще кто-нибудь,
23,впечатляет,впечатляет,
23,все,всё,
23,всё,всё,
23,все ничего,всё ничего,
23,всего,всё,
23,всех,всё,
23,вызовите,вызовите,
23,даёшь,даёшь,
23,даровал,даровал,
23,даром,даром,
23,делала,делала,
23,есть,есть,
23,желающих,желающих,
23,живые,живые,
23,заняты,заняты,
23,зря,зря,
23,каждому,каждому,
23,какую-то,какую-то,
23,кем,кто,
23,кем-нибудь,кто-нибудь,
23,кем-то,кто-то,
23,кого,кто,
23,кого угодно,кто угодно,
23,кого-нибудь,кто-нибудь,
23,кого-то,кто-то,
23,кое-кого,кто-кого,
23,кое-что,кое-что,
23,ком-то,кто-то,
23,кому,кто,
23,кому-то,кто-то,
23,крепкий,крепкий,
23,ктo-нибудь,кто-нибудь,
23,кто,кто,
23,кто-либо,кто-либо,
23,кто-нибудь,кто-нибудь,
23,кто-то,кто-то,
23,кто-то вообще,кто-то вообще,
23,кто-то кого-то,кто-то кто-то,
23,кто-то ошибся,кто-то ошибся,
23,кто-то сможет,кто-то сможет,
23,любой,любой,
23,любой вышедший,любой вышедший,
23,любым,любой,
23,нaйдутся,нaйдутся,
23,намного,намного,
23,находящиеся,находящиеся,
23,не,не,
23,некого,нечтo,
23,нечего,нечто,
23,нечтo,нечтo,
23,нечто,нечтo,
23,нечто такое,нечто такое,
23,ни,ни,
23,ни станут,ни станут,
23,никем,никто,
23,никого,никто,
23,никому,никто,
23,никто,никто,
23,ничeгo,ничто,
23,ничегo,ничто,
23,ничего,ничто,
23,ничего серьезного,ничто серьезного,
23,ничто,ничто,
23,обезболивающие,обезболивающие,
23,обработал,обработал,
23,однажды,однажды,
23,остановить,остановить,
23,остаются,остаются,
23,пoмoг,пoмoг,
23,пальца обоссать,пальца обоссать,
23,пойдёт,пойдёт,
23,пойди,пойди,
23,покажу,покажу,
23,поможешь,поможешь,
23,привезли,привезли,
23,приятным,приятным,
23,просил,просил,
23,прохладительного,прохладительного,
23,пусто,пусто,
23,пустота,пусто,
23,пустяки,пустяки,
23,снова,снова,
23,спущусь,спущусь,
23,такое,такое,
23,то,то,
23,то-то,то-то,
23,того,то,
23,ќичего,ќичего,
23,угодно,угодно,
23,хоть кто-то,хоть кто-то,
23,хоть что-то,хоть что-то,
23,че-нить,че-нить,
23,чего,что,
23,чего-то,что-то,
23,человек,человек,
23,человека,человек,
23,человеку,человек,
23,чем,что,
23,чем-либо,что-либо,
23,чем-то,что-то,
23,чему-то,что-то,
23,чтo-тo,что-то,
23,чтo-тo ecть,что-то ecть,
23,что-нибудь,что-нибудь,
23,что-то,что-то,
23,этoм,этoм,
23,,,
24,-nekdo,nekdo,
24,-nekoga,nekdo,
24,-nič,nič,
24,-pokličite,pokličite,
24,–nekaj,nekaj,
24,–nič,nič,
24,–ničesar,nič,
24,–nikogar,nič,
24,besed,besed,
24,brez,brez,
24,česa,česa,
24,česarkoli,česarkoli,
24,dobila,dobila,
24,ganite,ganite,
24,gotovo kaj,gotovo kaj,
24,hladno,hladno,
24,izgubil vse,izgubil vse,
24,izsiliti,izsiliti,
24,kaj,kaj,
24,kaj zgodi,kaj zgodi,
24,kakšno,kakšno,
24,kar,kar,
24,karkoli,karkoli,
24,kdo,kdo,
24,kdo vidi,kdo vidi,
24,kdokoli,kdokoli,
24,kdor koli,kdokoli,
24,kdorkoli,kdokoli,
24,koga,kdo,
24,kogarkoli,kdokoli,
24,koli,koli,
24,kom,kdo,
24,kompleks,kompleks,
24,komu,komu,
24,komur koli,komur koli,
24,lenarijo,lenarijo,
24,močnega,močnega,
24,najbolj,najbolj,
24,naredijo,naredijo,
24,nečesa,nekaj,
24,nečim,nekaj,
24,nekaj,nekaj,
24,nekdo,nekaj,
24,nekoga,nekaj,
24,nekom,nekaj,
24,nekomu,nekomu,
24,nesporazum,nesporazum,
24,ni,ni,
24,ni nič,ni nič,
24,ni nihče,ni nihče,
24,nič,nič,
24,nič nimam,,
24,nič takega,nič takega,
24,ničemer,nič,
24,ničesar,nič,
24,ničesar nimam,nič nimam,
24,ničesar nimaš,nič nimaš,
24,nihče,nihče,
24,nihče ni,nihče ni,
24,nikar,nič,
24,nikogar,nič,
24,nikogar pojedla,nič pojedla,
24,nikomer,nič,
24,nikomur,nič,
24,nimajo odgovorov,nimajo odgovorov,
24,nimaš nič,nimaš nič,
24,nula,nula,
24,omenil kdo,omenil kdo,
24,plaže,plaže,
24,podaril,podaril,
24,povej,povej,
24,presenečaš,presenečaš,
24,radi,radi,
24,radija,radija,
24,raje,raje,
24,razloga,razloga,
24,ubijal,ubijal,
24,ukreni kaj,ukreni kaj,
24,uslugo,uslugo,
24,vsak,vsak,
24,vsakdo,vsakdo,
24,vsakogar,vsakdo,
24,vse,vse,
24,vsega,vse,
24,vseh,vse,
24,zaman,zaman,
24,,,
25,-neko,netko,
25,-nešto,nešto,
25,-ničeg,ničeg,
25,-nikome,nitko,
25,-ništa,ništa,
25,-жели,zheli,
25,-зовите,zovite,
25,-ништа,ništa,
25,bilo,bilo,
25,bilo šta,bilo šta,
25,čega,šta,
25,čuje,čuje,
25,doleti,doleti,
25,džabe,džabe,
25,ičega,išta,
25,ide,ide,
25,iko,itko,
25,ikog,itko,
25,ikoga,itko,
25,ima,ima,
25,išta,išta,
25,itko,itko,
25,kim,ko,
25,ko,ko,
25,koga,ko,
25,kome,ko,
25,nečeg,nešto,
25,nečega,nešto,
25,nečim,nešto,
25,neèega,nešto,
25,nekim,netko,
25,neko,netko,
25,nekog,netko,
25,nekoga,netko,
25,nekome,netko,
25,neku,netko,
25,nema,nema,
25,nema razloga,nema razloga,
25,nemamo,nemamo,
25,nemate čega,nemate šta,
25,nešto,nešto,
25,nešto učinio,nešto učinio,
25,netko,netko,
25,ni,ni,
25,nićega,ništa,
25,ničega,ništa,
25,nièega,ništa,
25,niko,nitko,
25,nikog,nitko,
25,nikoga,nitko,
25,nikome,nitko,
25,ništa,ništa,
25,nitko,nitko,
25,ostao,ostao,
25,pičkin dim,pičkin dim,
25,pojeli,pojeli,
25,pojma,pojma,
25,popijte nešto,popijte nešto,
25,poseban,poseban,
25,radiusa,radiusa,
25,reči,reči,
25,sastanete,sastanete,
25,šta,šta,
25,šta god,šta god,
25,svako,sva,
25,svakoga,sva,
25,svakome,sva,
25,sve,sve,
25,sve učinio,sve učinio,
25,uchinila sve,uchinila sve,
25,ućinimo ništa,ućinimo ništa,
25,učinimo ništa,učinimo ništa,
25,uzalud,uzalud,
25,više,više,
25,zanimljivo,zanimljivo,
25,било,bilo,
25,било ко,bilo ko,
25,буду,budu,
25,изађе,izachi,
25,ико,itko,
25,икоме,itko,
25,ким,ko,
25,кога,ko,
25,коме,ko,
25,неким,netko,
25,неко,netko,
25,некога,netko,
25,некоме,netko,
25,немаш,немаш,
25,нечег,nešto,
25,нечега,netko,
25,нешто,nešto,
25,ни,ni,
25,никакве везе,nikakve vese,
25,нико,nitko,
25,никога,nitko,
25,никоме,nitko,
25,ничега,nitko,
25,ништа,ništa,
25,овоме,ovome,
25,питаш,pitash,
25,свега,sve,
25,учинити,utsiniti,
25,учинићеш,utsinitshesh,
25,чега,što,
25,,,
26,-är nån,är någon,
26,-ingenting,ingenting,
26,alla,alla,
26,allt,allt,
26,anledning,anledning,
26,behöver,behöver,
26,fanns,fanns,
26,fatt,fatt,
26,gratis,gratis,
26,helst,helst,
26,ingen,ingen,
26,ingenting,ingenting,
26,inget,ingen,
26,ingeting,ingeting,
26,inte,inte,
26,kan,kan,
26,lite,lite,
26,mållös,mållös,
26,någon,någon,
26,någon avgöra,någon avgöra,
26,någonting,någonting,
26,något,någon,
26,nån,någon,
26,nånting,någonting,
26,nåt,någon,
26,nått,nått,
26,om,om,
26,person,person,
26,sak,sak,
26,stilla,stilla,
26,tjänst,tjänst,
26,utan,utan,
26,vad,vad,
26,vadsomhelst,vadsomhelst,
26,​​vet,​​vet,
26,,,
27,alakası yok,alakası yok,
27,aranızda,aranızda,
27,babayiğit,babayiğit,
27,başarıiı olan birini,başarıiı olan bir,
27,başkası,başkası,
27,bir,bir,
27,bir sey,bir şey,
27,bir şey,bir şey,
27,bir şeye,bir şey,
27,bir şeyi,bir şey,
27,bir şeyin,bir şey,
27,bir şeyler,bir şey,
27,bir şeyleri,bir şey,
27,bir terslik,bir terslik,
27,biri,bir,
27,biri varsa,bir varsa,
27,birileri,bir,
27,birilerinin,bir,
27,birileriyle,bir,
27,birine,bir,
27,birini,bir,
27,birini bulmanı,bir bulmanı,
27,birinin,bir,
27,birisi,bir,
27,birisini,bir,
27,birşey,bir şey,
27,birşeye,bir şey,
27,çıkmam,çıkmam,
27,dayanamaz,dayanamaz,
27,değil,değil,
27,duyan,duyan,
27,edemiyorum,edemiyorum,
27,evlenme,evlenme,
27,gelen,gelen,
27,gelişme,gelişme,
27,gerilecek,gerilecek,
27,gören,gören,
27,halt,halt,
27,her,her,
27,her şey,her şey,
27,her şeyi,her şey,
27,her şeyi yaparım,her şey yaparım,
27,herhangi,herhangi,
27,herkes,herkes,
27,herkese,herkese,
27,herkese yaparsiniz,herkese yaparsiniz,
27,herkesi,herkesi,
27,herkesten,herkesten,
27,hiç,hiç,
27,hiçbir,hiçbir,
27,hiçbir şey,hiçbir şey,
27,hiçbir şey anlatmayacak,hiçbir şey anlatmayacak,
27,hiçbir şey kalmamış,hiçbir şey kalmamış,
27,hiçbir şey yok,hiçbir şey yok,
27,hiçbir şeye,hiçbir şey,
27,hiçbir şeyim,hiçbir şey,
27,hiçbir şeyin,hiçbir şey,
27,hiçbir şeyin yok,hiçbir şey yok,
27,hiçbirşeyden,hiçbir şey,
27,hickimseye,hickimseye,
27,isteyen,isteyen,
27,i̇tiraz,i̇tiraz,
27,keza,keza,
27,kimse,kimse,
27,kimse kımıldamasın,kimse kımıldamasın,
27,kimse kıpırdamasın,kimse kıpırdamasın,
27,kimsenin,kimse,
27,kimsenin anlayabileceğini,kimse anlayabileceğini,
27,kimseye,kimse,
27,kimseye anlatma,kimse anlatma,
27,kimseye söylemediniz,kimse söylemediniz,
27,kimseyi,kimse,
27,kimseyi bulamazsın,kimse bulamazsın,
27,kimseyi yemeyeceğiz,kimse yemeyeceğiz,
27,kimseyle,kimse,
27,konu,konu,
27,konuşuyordu,konuşuyordu,
27,korkuyorsun,korkuyorsun,
27,midir,midir,
27,misiniz,misiniz,
27,mu,mu,
27,olağanüstü,olağanüstü,
27,sevmişti,sevmişti,
27,sey,sey,
27,şey,şey,
27,şey değil,şey değil,
27,şey taşıyor,şey taşıyor,
27,şey yapmadın,şey yapmadın,
27,sey yok,şey yok,
27,şey yok,şey yok,
27,şeyden,şey,
27,şeye,şey,
27,şeyi,şey,
27,şeyim yok,şey yok,
27,şeyin,şey,
27,şeyin yok,şey yok,
27,şeyiniz,şey,
27,şeyle,şey,
27,şeyler,şey,
27,şeyleri,şey,
27,tanımadan,tanımadan,
27,tanışmamıştım,tanışmamıştım,
27,taşıyor,taşıyor,
27,teması olan,teması olan,
27,terslik,terslik,
27,var,var,
27,verdiğim kimsem,verdiğim kimsem,
27,yapardık,yapardık,
27,yaparım,yaparım,
27,yaralanan,yaralanan,
27,yaşarız,yaşarız,
27,yeri,yeri,
27,yok,yok,
27,,,
28,-có ai,-có ai,
28,ai,ai,
28,ai cả,ai cả,
28,bất,bất,
28,bất cứ,bất cứ,
28,bất cứ điều gì,bất cứ điều gì,
28,bất cứ gì,bất cứ gì,
28,bất cứ thứ gì,bất cứ thứ gì,
28,bất kỳ,bất kỳ,
28,bất kỳ ai,bất kỳ ai,
28,bất kỳ người,bất kỳ người,
28,bay,bay,
28,cả mọi thứ,cả mọi thứ,
28,cách,cách,
28,cái,cái,
28,cái đó,cái đó,
28,cái gì,cái gì,
28,cái gì đó,cái gì đó,
28,chả ai,chả ai,
28,chẳng,chẳng,
28,chuyện,chuyện,
28,chuyện gì,chuyện gì,
28,chuyện gì đó,chuyện gì đó,
28,có,có,
28,có ai,có ai,
28,có ai đố,có ai đố,
28,có kẻ,có kẻ,
28,có người,có người,
28,điều,điều,
28,điều gì,điều gì,
28,điều gì cả,điều gì cả,
28,điều gì đó,điều gì đó,
28,đó,đó,
28,đồng,đồng,
28,gì,gì,
28,gì,gì,
28,gì cả,gì cả,
28,gì cứ nói,gì cứ nói,
28,gì đó,gì đó,
28,gì hết,gì hết,
28,giảm,giảm,
28,giỏi,giỏi,
28,giúp,giúp,
28,hết mọi thứ,hết mọi thứ,
28,hồi,hồi,
28,kẻ,kẻ,
28,không,không,
28,không có gì,không có gì,
28,không gì,không gì,
28,không gì cả,không gì cả,
28,không gì cả,không gì cả,
28,kiến điều,kiến điều,
28,làm gì,làm gì,
28,lỡ,lỡ,
28,manh,manh,
28,mát,mát,
28,mát họng,mát họng,
28,mọi,mọi,
28,mọi chuyện,mọi chuyện,
28,mọi điều,mọi điều,
28,mọi thứ,mọi thứ,
28,mọi thứ,mọi thứ,
28,một,một,
28,một cái gì,một cái gì,
28,một cái gì đó,một cái gì đó,
28,một chuyện,một chuyện,
28,một điều,một điều,
28,một điều gì đó,một điều gì đó,
28,một thứ,một thứ,
28,một thứ gì,một thứ gì,
28,một thứ gì đó,một thứ gì đó,
28,một thứ mà,một thứ mà,
28,một vài thứ,một vài thứ,
28,một việc,một việc,
28,muỗi,muỗi,
28,muốn,muốn,
28,nên điều,nên điều,
28,ngờ,ngờ,
28,ngoại,ngoại,
28,người,người,
28,người khoẻ,người khoẻ,
28,người lạ,người lạ,
28,nói thêm gì,nói thêm gì,
28,quậy,quậy,
28,thấy,thấy,
28,thấy cồn cào,thấy cồn cào,
28,thấy một thứ,thấy một thứ,
28,thịt người,thịt người,
28,thứ,thứ,
28,thứ gì,thứ gì,
28,thứ gì đó,thứ gì đó,
28,thứ gì hết,thứ gì hết,
28,thứ không,thứ không,
28,vài,vài,
28,vài điều,vài điều,
28,vài thứ,vài thứ,
28,việc,việc,
28,vô,vô,
28,,,
29,anything,anything,
29,nothin',nothin',
29,nothing,nothing,
29,somethin',somethin',
29,something,something,
29,Τ ぐ,Τ ぐ,
29,и⊿ヴ ,и⊿ヴ ,
29,ぐ,ぐ,
29,ㄆ,ㄆ,
29,ㄇ,ㄇ,
29,一无,一无,
29,一起来,一起来,
29,下任 何,下任 何,
29,不懂,不懂,
29,不是,不是,
29,不是 因,不是 因,
29,不記,不記,
29,世上,世上,
29,东,东,
29,东 西,东 西,
29,东 西了,东 西了,
29,东西,东西,
29,东西去,东西去,
29,个,个,
29,个 人,个 人,
29,义,义,
29,为任 何,为任 何,
29,么,么,
29,么 都,么 都,
29,么也,么也,
29,么也 不能告,么也 不能告,
29,么也 没有,么也 没有,
29,么能,么能,
29,事情,事情,
29,些,些,
29,些 东 西,些 东 西,
29,些 东西,些 东西,
29,些 事情,些 事情,
29,些 什,些 什,
29,人,人,
29,人 同盟,人 同盟,
29,人人,人人,
29,人去,人去,
29,人能让 你伤,人能让 你伤,
29,人說,人說,
29,什,什,
29,什 么,什 么,
29,什 么 没什 么,什 么 没什 么,
29,什 么 都,什 么 都,
29,什 么 都 不是,什 么 都 不是,
29,什 么 都 没,什 么 都 没,
29,什 么也,什 么也,
29,什 么也 没,什 么也 没,
29,什 么吗,什 么吗,
29,什么,什么,
29,什麼 都,什麼 都,
29,什麼 都 不記,什麼 都 不記,
29,什麼 都 願意,什麼 都 願意,
29,仅此,仅此,
29,从来没见,从来没见,
29,他人,他人,
29,他们应,他们应,
29,以打 給誰,以打 給誰,
29,以掉,以掉,
29,件,件,
29,件 东 西,件 东 西,
29,任 何,任 何,
29,任 何 人,任 何 人,
29,任 何事,任 何事,
29,似,似,
29,但沒,但沒,
29,但沒 有人,但沒 有人,
29,何,何,
29,何 东 西,何 东 西,
29,何 人,何 人,
29,你发,你发,
29,你有,你有,
29,你有 某,你有 某,
29,個人,個人,
29,做任 何事,做任 何事,
29,做我,做我,
29,先帮,先帮,
29,最令,最令,
29,出了 什,出了 什,
29,出了 点,出了 点,
29,出现,出现,
29,别,别,
29,别留,别留,
29,办,办,
29,动,动,
29,反,反,
29,可説明,可説明,
29,和任 何 人,和任 何 人,
29,壮观,壮观,
29,处,处,
29,复,复,
29,外头,外头,
29,夜空 没,夜空 没,
29,大事,大事,
29,大家,大家,
29,好喝,好喝,
29,对劲,对劲,
29,工具,工具,
29,带,带,
29,建立,建立,
29,強壯,強壯,
29,很酷,很酷,
29,快想,快想,
29,快想 办,快想 办,
29,总得,总得,
29,总得 有人,总得 有人,
29,想和别,想和别,
29,想想 办,想想 办,
29,成就,成就,
29,我什 么也,我什 么也,
29,我找,我找,
29,我没事,我没事,
29,或,或,
29,戳辨,戳辨,
29,所,所,
29,找人,找人,
29,找到,找到,
29,找我,找我,
29,捉她,捉她,
29,救救,救救,
29,斃,斃,
29,无,无,
29,无 所有,无 所有,
29,无 所有 没什 么,无 所有 没什 么,
29,无能,无能,
29,是吗,是吗,
29,是真,是真,
29,有东 西,有东 西,
29,有些,有些,
29,有些 东西,有些 东西,
29,有人,有人,
29,有人 在吗,有人 在吗,
29,有人 往这 边来了吗,有人 往这 边来了吗,
29,有人 有异,有人 有异,
29,有人 来问路,有人 来问路,
29,有什,有什,
29,有什 么,有什 么,
29,有件,有件,
29,有任,有任,
29,有其,有其,
29,有其 他人,有其 他人,
29,有所 企图,有所 企图,
29,有觉,有觉,
29,有谁,有谁,
29,杀生,杀生,
29,東西,東西,
29,某,某,
29,某 些,某 些,
29,某 人,某 人,
29,某 人说,某 人说,
29,样做,样做,
29,沒 有人,沒 有人,
29,沒找,沒找,
29,没,没,
29,没 什 么,没 什 么,
29,没 想到,没 想到,
29,没 有人,没 有人,
29,没事,没事,
29,没人,没人,
29,没什,没什,
29,没什 么,没什 么,
29,没关,没关,
29,没感,没感,
29,没有,没有,
29,没有 东,没有 东,
29,没有 什,没有 什,
29,没有 什 么,没有 什 么,
29,没有 什 么 东,没有 什 么 东,
29,没有 什 么 什 么,没有 什 么 什 么,
29,没话,没话,
29,派人,派人,
29,点,点,
29,点 东 西,点 东 西,
29,点 东 西了,点 东 西了,
29,点 什,点 什,
29,点 什么,点 什么,
29,烦恼,烦恼,
29,狥,狥,
29,狥 ﹁,狥 ﹁,
29,由别 人,由别 人,
29,疑,疑,
29,看吗,看吗,
29,种事,种事,
29,约了,约了,
